+-----------+-----------------------------------------------------------------------------------------------------+---------------------------+--------------+----------------+
|     ID    |                                                 Name                                                |           Domain          | Seller type  | Direct domain? |
| 539618221 |                                    Publisher First, Inc. (via EB)                                   |         google.com        | INTERMEDIARY |    indirect    |
| 539900106 |                                        Publisher First, Inc.                                        |        freestar.com       | INTERMEDIARY |     direct     |
| 545709546 |                                        Publisher First, Inc.                                        |        freestar.com       | INTERMEDIARY |     direct     |
| 539169203 |                                       G/O Media, Inc. (via EB)                                      |         google.com        | INTERMEDIARY |    indirect    |
| 540233889 |                                          Game8 Inc (via EB)                                         |         google.com        | INTERMEDIARY |    indirect    |
| 539363595 |                                    Gatehouse Media, LLC (via EB)                                    |         google.com        | INTERMEDIARY |    indirect    |
| 537141605 |                                    Geniee International Pte. Ltd.                                   |      en.geniee.co.jp      | INTERMEDIARY |     direct     |
| 541074008 |                                    Geniee International Pte. Ltd.                                   |      en.geniee.co.jp      | INTERMEDIARY |     direct     |
| 544088483 |                               Geniee International Pte. Ltd. (via EB)                               |         google.com        | INTERMEDIARY |    indirect    |
| 539320132 |                                             Geniee, Inc.                                            |        geniee.co.jp       | INTERMEDIARY |     direct     |
